Date,units,demand,epidemic,promotion,discount,price,competitor_price,weather_Cloudy,weather_Rainy,weather_Snowy,weather_Sunny
2022-01-01,8601,10060,False,0.15,6.45,68.669,70.85,0.2,0.0,0.6,0.2
2022-01-02,7684,10814,False,0.2,7.35,70.3806,72.4986,0.4,0.0,0.4,0.2
2022-01-03,5965,11317,False,0.35,9.15,69.791,72.1262,0.4,0.0,0.4,0.2
2022-01-04,7859,11469,False,0.45,10.3,69.8443,72.0545,0.4,0.0,0.4,0.2
2022-01-05,9621,11724,False,0.7,14.35,66.819,68.6097,0.2,0.0,0.6,0.2
2022-01-06,9503,10938,False,0.25,7.5,69.6041,72.1883,0.0,0.0,0.6,0.4
2022-01-07,10045,11584,False,0.4,10.0,69.4957,71.94,0.4,0.0,0.4,0.2
2022-01-08,9980,12060,False,0.6,12.55,69.1135,71.3043,0.4,0.0,0.4,0.2
2022-01-09,9661,11427,False,0.15,7.75,70.9526,72.8224,0.4,0.0,0.0,0.6
2022-01-10,9928,11523,False,0.3,8.85,70.6175,72.7296,1.0,0.0,0.0,0.0
2022-01-11,9957,12104,False,0.4,10.0,70.5719,73.325,0.6,0.0,0.0,0.4
2022-01-12,9279,11019,False,0.4,10.3,67.69409999999999,68.3386,0.0,0.0,0.8,0.2
2022-01-13,9904,10990,False,0.4,10.8,68.9118,68.7057,1.0,0.0,0.0,0.0
2022-01-14,9507,11399,False,0.3,9.0,69.9782,70.4785,0.4,0.0,0.2,0.4
2022-01-15,9566,11436,False,0.3,9.35,69.44319999999999,71.9272,0.0,0.0,0.4,0.6
2022-01-16,9218,10629,False,0.35,9.3,68.145,69.9645,0.4,0.0,0.4,0.2
2022-01-17,10074,12036,False,0.45,9.95,68.60340000000001,72.52690000000001,0.2,0.0,0.4,0.4
2022-01-18,9444,10651,False,0.45,10.5,66.4447,68.1416,0.4,0.0,0.6,0.0
2022-01-19,8689,10878,False,0.25,7.6,69.7004,69.93,0.4,0.0,0.4,0.2
2022-01-20,9489,10822,False,0.4,10.25,67.6643,69.7761,0.2,0.0,0.6,0.2
2022-01-21,9905,11327,False,0.35,9.5,69.4982,70.8272,0.0,0.0,0.4,0.6
2022-01-22,9908,12024,False,0.5,10.95,69.67020000000001,72.8343,0.2,0.0,0.2,0.6
2022-01-23,8721,10515,False,0.35,8.85,68.2001,71.476,0.4,0.0,0.4,0.2
2022-01-24,8822,10570,False,0.4,10.25,68.1333,69.6164,0.4,0.0,0.4,0.2
2022-01-25,8434,9818,False,0.25,7.65,67.6211,69.65230000000001,0.2,0.0,0.8,0.0
2022-01-26,9271,10584,False,0.35,9.2,68.33099999999999,69.1629,0.6,0.0,0.4,0.0
2022-01-27,9276,10659,False,0.35,9.25,67.7539,70.7663,0.6,0.0,0.4,0.0
2022-01-28,8945,10522,False,0.2,7.25,69.3845,70.1852,0.2,0.0,0.4,0.4
2022-01-29,9655,11064,False,0.0,4.85,73.4969,74.5219,0.2,0.0,0.0,0.8
2022-01-30,7992,9553,False,0.0,5.25,69.2889,71.3749,0.4,0.0,0.6,0.0
2022-01-31,8592,10028,False,0.0,5.3,70.4056,71.8819,0.6,0.0,0.0,0.4
2022-02-01,9599,10791,False,0.5,10.85,67.2877,67.5624,0.0,0.0,1.0,0.0
2022-02-02,10746,12698,False,0.5,11.7,69.8447,73.7854,0.4,0.0,0.0,0.6
2022-02-03,10531,12779,False,0.6,13.05,69.5168,71.77770000000001,0.8,0.0,0.0,0.2
2022-02-04,9757,11363,False,0.2,7.1,71.9925,73.4345,0.2,0.0,0.4,0.4
2022-02-05,10085,11914,False,0.35,9.75,70.1754,71.9779,0.4,0.0,0.0,0.6
2022-02-06,9298,11354,False,0.25,8.6,69.1753,71.0034,0.4,0.0,0.2,0.4
2022-02-07,9472,11024,False,0.35,9.4,69.5394,70.9279,0.0,0.0,0.6,0.4
2022-02-08,10074,11473,False,0.4,10.05,68.9663,70.3654,0.0,0.0,0.6,0.4
2022-02-09,10699,12391,False,0.3,8.8,72.1205,73.304,0.2,0.0,0.0,0.8
2022-02-10,9761,11510,False,0.3,8.85,70.4389,71.7321,0.4,0.0,0.2,0.4
2022-02-11,9615,11491,False,0.15,6.8,72.3982,73.72980000000001,0.2,0.0,0.2,0.6
2022-02-12,9918,12058,False,0.3,9.2,71.7607,72.9818,0.2,0.0,0.4,0.4
2022-02-13,8646,10607,False,0.4,10.05,67.4893,70.51939999999999,0.4,0.0,0.6,0.0
2022-02-14,10173,12494,False,0.65,13.7,68.6997,70.19069999999999,0.4,0.0,0.4,0.2
2022-02-15,9453,10727,False,0.45,10.65,67.5771,67.66329999999999,0.2,0.0,0.8,0.0
2022-02-16,9800,11804,False,0.35,9.55,71.58970000000001,73.3111,0.4,0.0,0.2,0.4
2022-02-17,9428,10857,False,0.3,8.55,69.7809,73.07390000000001,0.4,0.0,0.2,0.4
2022-02-18,10017,11757,False,0.2,7.45,72.8206,74.9314,0.0,0.0,0.0,1.0
2022-02-19,10253,11873,False,0.3,8.2,71.4497,73.9267,0.4,0.0,0.0,0.6
2022-02-20,9483,11170,False,0.4,8.9,69.564,70.4864,0.4,0.0,0.2,0.4
2022-02-21,9242,10619,False,0.4,10.15,68.3453,69.1324,0.4,0.0,0.4,0.2
2022-02-22,8861,10973,False,0.2,8.15,70.0736,72.4219,0.2,0.0,0.2,0.6
2022-02-23,9999,11769,False,0.4,9.55,70.1432,71.4637,0.0,0.0,0.4,0.6
2022-02-24,8940,10232,False,0.4,9.5,67.5412,68.6871,0.2,0.0,0.8,0.0
2022-02-25,8900,10152,False,0.25,8.0,69.1752,71.1474,0.4,0.0,0.6,0.0
2022-02-26,9367,10514,False,0.25,8.1,69.17699999999999,70.5305,0.8,0.0,0.2,0.0
2022-02-27,10040,12841,False,0.55,12.25,69.7875,72.1926,0.0,0.0,0.4,0.6
2022-02-28,8951,10648,False,0.3,8.75,69.094,70.6271,0.4,0.0,0.6,0.0
2022-03-01,10050,11914,False,0.35,8.75,70.5562,73.0375,0.0,0.2,0.0,0.8
2022-03-02,8775,10250,False,0.2,7.5,68.2757,69.7433,0.8,0.2,0.0,0.0
2022-03-03,10192,11758,False,0.35,9.15,70.22109999999999,71.839,0.0,0.4,0.0,0.6
2022-03-04,10323,12275,False,0.35,8.6,72.19369999999999,72.77850000000001,0.6,0.0,0.0,0.4
2022-03-05,10557,12275,False,0.35,9.85,70.4839,73.8162,0.2,0.2,0.0,0.6
2022-03-06,9349,11354,False,0.3,9.05,69.9501,73.1365,0.2,0.6,0.0,0.2
2022-03-07,9916,11452,False,0.4,10.25,68.7056,69.5256,0.4,0.2,0.0,0.4
2022-03-08,10365,11498,False,0.3,9.1,69.3526,72.064,0.8,0.0,0.0,0.2
2022-03-09,9960,11929,False,0.4,9.75,70.1358,70.7799,0.0,0.4,0.0,0.6
2022-03-10,9335,10574,False,0.35,9.85,66.7721,69.7921,0.0,1.0,0.0,0.0
2022-03-11,9495,10640,False,0.35,8.9,67.7374,69.54090000000001,0.2,0.8,0.0,0.0
2022-03-12,11518,12860,False,0.45,11.55,69.8083,72.6675,0.4,0.0,0.0,0.6
2022-03-13,9555,11547,False,0.3,8.9,70.4785,71.82300000000001,0.0,0.2,0.0,0.8
2022-03-14,8768,10779,False,0.25,8.2,68.7753,70.6712,0.8,0.2,0.0,0.0
2022-03-15,10246,11765,False,0.45,10.4,70.1248,71.5484,0.0,0.4,0.0,0.6
2022-03-16,9999,11852,False,0.45,11.25,68.3111,69.9079,0.4,0.4,0.0,0.2
2022-03-17,9433,11421,False,0.4,9.7,68.7052,69.4036,0.6,0.2,0.0,0.2
2022-03-18,9402,10765,False,0.35,8.7,68.7392,68.7252,0.0,0.8,0.0,0.2
2022-03-19,8776,10226,False,0.3,8.95,67.11,68.415,0.4,0.6,0.0,0.0
2022-03-20,10568,12298,False,0.4,9.4,71.6762,72.82690000000001,0.0,0.4,0.0,0.6
2022-03-21,9938,12065,False,0.2,7.25,72.2817,72.985,0.0,0.0,0.0,1.0
2022-03-22,8670,9826,False,0.3,8.6,66.47149999999999,69.5079,0.2,0.8,0.0,0.0
2022-03-23,9906,11547,False,0.3,8.5,69.5075,70.6186,0.0,0.4,0.0,0.6
2022-03-24,9808,11509,False,0.25,7.65,70.3777,72.5671,0.0,0.2,0.0,0.8
2022-03-25,10629,12256,False,0.55,11.5,69.2921,72.0684,0.8,0.0,0.0,0.2
2022-03-26,10576,12575,False,0.5,11.5,68.9856,72.06569999999999,0.6,0.0,0.0,0.4
2022-03-27,11169,12922,False,0.45,10.7,71.54350000000001,73.687,0.0,0.2,0.0,0.8
2022-03-28,9288,10248,False,0.4,10.25,66.0694,67.34,0.0,1.0,0.0,0.0
2022-03-29,9388,10863,False,0.0,4.45,73.0946,73.04979999999999,0.4,0.2,0.0,0.4
2022-03-30,8982,9902,False,0.0,5.45,68.30369999999999,70.6962,0.8,0.2,0.0,0.0
2022-03-31,8816,10028,False,0.0,4.4,70.8208,72.84819999999999,0.2,0.6,0.0,0.2
2022-04-01,10273,12130,False,0.45,9.75,70.5846,71.4616,0.4,0.2,0.0,0.4
2022-04-02,9787,11258,False,0.35,9.9,68.3699,70.2057,0.0,0.6,0.0,0.4
2022-04-03,9379,11205,False,0.3,8.6,69.1451,72.0102,0.8,0.0,0.0,0.2
2022-04-04,8970,10342,False,0.45,11.3,65.87899999999999,68.165,0.4,0.6,0.0,0.0
2022-04-05,9703,11118,False,0.35,9.7,69.018,70.5323,0.6,0.4,0.0,0.0
2022-04-06,10275,12730,False,0.55,12.0,70.2253,71.6004,0.8,0.0,0.0,0.2
2022-04-07,10231,11670,False,0.4,10.05,69.8422,72.3196,0.2,0.2,0.0,0.6
2022-04-08,10259,12304,False,0.55,11.3,69.1376,72.0256,0.0,0.4,0.0,0.6
2022-04-09,8893,10240,False,0.3,9.1,67.5878,68.9271,0.4,0.4,0.0,0.2
2022-04-10,9237,10442,False,0.15,7.25,69.0932,72.2165,0.6,0.4,0.0,0.0
2022-04-11,9946,11989,False,0.45,10.85,69.3917,71.0642,0.4,0.2,0.0,0.4
2022-04-12,10528,12767,False,0.55,12.45,69.9461,70.7346,0.4,0.0,0.0,0.6
2022-04-13,10028,11980,False,0.35,10.15,70.80900000000001,71.5573,0.4,0.0,0.0,0.6
